_id,FIR_NUM,FIR_REG_NUM,PS,RANGE_NAME,LONGITUDE,ZONE_NAME,DISTRICT,ACT_SECTION,LATITUDE,date,REG_MONTH,REG_YEAR,REG_D_W
ObjectId(5c7dd2219164b2149b56c6d8),755/2017,31630028170755,HAFIZGANJ,BAREILLY,---,BAREILLY,BAREILLY,"["" IPC 1860-324"","" IPC 1860-506"","" IPC 1860-308""]",---,2017-08-20T23:00:00.000Z,8,2017,1
ObjectId(5c7dd22f9164b2149b599ffa),355/2017,31642012170355,FATEHGARH KOTWALI,KANPUR,27-35-56-0,KANPUR,FATEHGARH,"["" IPC 1860-279"","" IPC 1860-304-A""]",79-61-27-5,2017-06-16T09:30:00.000Z,6,2017,6
ObjectId(5c7dd20d9164b2149b52c615),18/2016,31909007160018,SIDHPURA,ALIGARH,78.9212,AGRA,KASGANJ,"["" IPC 1860-279"","" IPC 1860-304-A"","" IPC 1860-427"","" IPC 1860-337"","" IPC 1860-338""]",27.5636,2016-01-26T06:30:00.000Z,1,2016,3
ObjectId(5c7dd2509164b2149b602096),402/2018,31658075180402,TRANSPORT NAGAR,MEERUT,-,MEERUT,MEERUT,"["" IPC 1860-352"","" IPC 1860-323"","" IPC 1860-325""]",-,2018-06-26T07:10:00.000Z,6,2018,3
ObjectId(5c7dd2239164b2149b573974),782/2016,31631056160782,DUBAULIA,BASTI,---,GORAKHPUR,BASTI,"["" IPC 1860-419"","" IPC 1860-420"","" IPC 1860-467"","" IPC 1860-468"","" IPC 1860-471"","" IPC 1860-406""]",---,2016-10-20T14:15:00.000Z,10,2016,5
ObjectId(5c7dd2469164b2149b5e4389),610/2018,31655038180610,MALIHABAD,LUCKNOW,-,LUCKNOW,LUCKNOW,"["" THE ELECTRICITY ACT"","" 2003-138""]",-,2018-10-27T00:10:00.000Z,10,2018,7
ObjectId(5c7dd1f19164b2149b4d5378),2022/2017,31681039172022,KAVI NAGAR,MEERUT,,MEERUT,GHAZIABAD,"["" IPC 1860-147"","" IPC 1860-148"","" IPC 1860-336"","" IPC 1860-341"","" IPC 1860-427"","" IPC 1860-353"","" THE CRIMINAL LAW (AMENDMENT) ACT 1932-7""]",,2017-12-23T00:30:38.000Z,12,2017,7
ObjectId(5c7dd1f79164b2149b4e76b8),6/2017,31685006170006,HATHINALA,MIRZAPUR,83.1013,VARANASI,SONBHADRA,"["" IPC 1860-376"","" SC AND THE ST (PREVENTION OF ATROCITIES) ACT"","" 1989-3(2)(v)""]",24.1622,2017-04-22T12:45:00.000Z,4,2017,7
ObjectId(5c7dd1ec9164b2149b4c36b4),176/2016,31676053160176,SIGRA,VARANASI,---,VARANASI,VARANASI,"["" IPC 1860-323"","" IPC 1860-504"","" IPC 1860-506"","" IPC 1860-427""]",---,2016-05-09T15:20:00.000Z,5,2016,2
ObjectId(5c7dd2109164b2149b537a55),75/2016,31621039160075,NAI-KI-MANDI,AGRA,---,AGRA,AGRA,"["" THE U.P. EXCISE ACT-60""]",---,2016-05-07T22:30:00.000Z,5,2016,7
